"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4169","should display all pricing plans correctly","","Sat Apr 05 21:50:52 WAT 2025","passed","Sat Apr 05 21:50:56 WAT 2025","","Pricing Page","",""
"","3493","should display key features of the platform","","Sat Apr 05 21:50:01 WAT 2025","passed","Sat Apr 05 21:50:05 WAT 2025","","Features Section","",""
"","4475","should load successfully and display the main heading","","Sat Apr 05 21:50:08 WAT 2025","passed","Sat Apr 05 21:50:12 WAT 2025","","Home Page","",""
"","5317","should navigate to the ""Features"" section when clicked","","Sat Apr 05 21:50:16 WAT 2025","passed","Sat Apr 05 21:50:21 WAT 2025","","Home Page","",""
"","7668","should navigate to the Features section when clicked","","Sat Apr 05 21:49:53 WAT 2025","passed","Sat Apr 05 21:50:01 WAT 2025","","Features Section","",""
"","3172","should navigate to the ""How it Works"" section when clicked","","Sat Apr 05 21:50:13 WAT 2025","passed","Sat Apr 05 21:50:16 WAT 2025","","Home Page","",""
"","18499","should navigate to the FAQs page when clicked","","Sat Apr 05 21:49:10 WAT 2025","passed","Sat Apr 05 21:49:29 WAT 2025","","FAQs Section","",""
"","7128","should navigate to the FAQ page when clicked","","Sat Apr 05 21:50:21 WAT 2025","passed","Sat Apr 05 21:50:28 WAT 2025","","Home Page","",""
"","7994","should display FAQ questions","","Sat Apr 05 21:49:29 WAT 2025","passed","Sat Apr 05 21:49:37 WAT 2025","","FAQs Section","",""
"","2991","should navigate to the Pricing page","","Sat Apr 05 21:50:48 WAT 2025","passed","Sat Apr 05 21:50:51 WAT 2025","","Pricing Page","",""
"","6004","should navigate to the How It Works section when clicked","","Sat Apr 05 21:50:31 WAT 2025","passed","Sat Apr 05 21:50:37 WAT 2025","","How It Works Section","",""
"","12878","should reveal and hide answers for all FAQs when clicked","","Sat Apr 05 21:49:37 WAT 2025","passed","Sat Apr 05 21:49:50 WAT 2025","","FAQs Section","",""
"","3639","should display step-by-step details","","Sat Apr 05 21:50:38 WAT 2025","passed","Sat Apr 05 21:50:41 WAT 2025","","How It Works Section","",""
